Height,Year,Tide
1.1961174465523858,2037.0,0.713
1.3746599418972762,2043.0,0.7
0.9921332778397289,2053.0,0.96
1.0890162327909982,2057.0,0.823
1.5378327202274176,2060.0,0.6829999999999999
1.552159164734928,2061.0,0.915
1.3993951914996512,2062.0,0.631
1.1118555895106457,2065.0,0.81
1.1419267464085145,2066.0,0.929
1.2030965972551622,2071.0,0.718
1.4174043247998276,2071.0,0.514
1.6748359905942403,2073.0,0.524
1.5358550497662942,2074.0,0.9690000000000001
1.5743103576171293,2075.0,0.5670000000000001
1.4542088205417212,2076.0,0.782
1.36176945946662,2076.0,0.5870000000000001
2.1321051507694833,2078.0,0.871
1.5930267658852912,2078.0,0.387
1.3656919805969365,2079.0,0.746
1.2702443981187401,2080.0,0.7070000000000001
1.693399958807482,2081.0,0.457
1.2758165550354406,2081.0,0.6970000000000001
1.3090586004682665,2081.0,0.695
1.265229156580622,2082.0,0.6729999999999999
1.6775246361853262,2083.0,0.451
1.2501209626667373,2083.0,0.882
1.3007965818689273,2083.0,0.608
1.4427446149968808,2083.0,0.848
1.2515531091905348,2085.0,0.684
1.2622051064983988,2085.0,0.956
1.3900688303094424,2086.0,1.033
1.5631239989338945,2086.0,0.494
1.4319434037139684,2087.0,0.506
1.3429186514354954,2090.0,0.586
1.277532251152661,2091.0,0.639
1.29409722350931,2091.0,0.6579999999999999
1.3854768222887839,2092.0,0.581
1.7279672748308499,2092.0,0.324
1.4067196469033396,2093.0,0.638
1.4508323104379925,2093.0,0.784
1.3116521010519986,2094.0,0.643
1.7687985577512757,2094.0,0.243
1.6551372221068301,2096.0,0.354
1.4351735429967503,2096.0,0.7390000000000001
1.6972268753982651,2097.0,0.628
1.8304680949658165,2097.0,0.324
1.5666770732428876,2098.0,0.344
1.4274576196824582,2098.0,0.718
1.4269516554226869,2099.0,0.732
1.7854496373652773,2099.0,1.016047135180136
1.4071742406380667,2100.0,0.698
1.4073859912799296,2100.0,0.7390000000000001
1.3719856495958185,2100.0,0.785
1.3841906757506406,2100.0,0.8340000000000001
1.6553682882173186,2100.0,0.62
