Height,Year,Tide
1.4577900974781481,2023.0,0.445
1.740497242827731,2027.0,0.33299999999999996
2.171879174124309,2034.0,0.158
1.3957730955458794,2035.0,0.743
1.5889056878261916,2065.0,0.5329999999999999
1.2097677934037288,2068.0,0.6970000000000001
1.223465076115088,2069.0,0.711
1.203264021533968,2071.0,0.9490000000000001
1.2265143588630754,2072.0,0.698
1.475180484004844,2078.0,0.445
2.03621291754288,2079.0,0.33
1.571300895478886,2080.0,0.585
1.281407646392858,2082.0,0.8959999999999999
1.5350845190914462,2083.0,0.545
1.2376889408657372,2084.0,0.81
1.6369306132605344,2085.0,0.758
1.7747870148399194,2087.0,0.198
1.9301778264371068,2088.0,0.826
1.3111341578158362,2091.0,0.7
2.12518836612597,2092.0,0.43700000000000006
1.6206586801527494,2093.0,0.456
1.7041257008723054,2094.0,0.495
1.5079651291296234,2095.0,0.755
1.6722882802595846,2096.0,0.309
1.552486334251563,2097.0,0.512
1.7759191079745973,2097.0,0.27899999999999997
1.3936633074275442,2097.0,0.546
